<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.17	20:00:00	1.04997	1.05042	1.04851	1.04914	9784	0	2
2024.12.18	00:00:00	1.04922	1.05028	1.04912	1.05021	5500	0	2
2024.12.18	04:00:00	1.05022	1.05057	1.04960	1.05023	6627	0	2
2024.12.18	08:00:00	1.05022	1.05127	1.04874	1.04942	16222	0	2
2024.12.18	12:00:00	1.04943	1.05036	1.04825	1.04921	17651	0	2
2024.12.18	16:00:00	1.04920	1.05031	1.04670	1.04753	22569	0	2
2024.12.18	20:00:00	1.04753	1.04923	1.03439	1.03492	46677	0	2
2024.12.19	00:00:00	1.03496	1.03801	1.03472	1.03780	15230	0	2
2024.12.19	04:00:00	1.03780	1.03909	1.03724	1.03819	12742	0	2
2024.12.19	08:00:00	1.03819	1.04223	1.03773	1.04124	31919	0	2
2024.12.19	12:00:00	1.04125	1.04158	1.03857	1.03990	30859	0	2
2024.12.19	16:00:00	1.03988	1.04071	1.03547	1.03615	34491	0	2
2024.12.19	20:00:00	1.03616	1.03772	1.03552	1.03629	14445	0	2
2024.12.20	00:00:00	1.03615	1.03692	1.03587	1.03635	8426	0	2
2024.12.20	04:00:00	1.03634	1.03667	1.03565	1.03663	8688	0	2
2024.12.20	08:00:00	1.03662	1.03985	1.03430	1.03827	26034	0	2
2024.12.20	12:00:00	1.03827	1.04190	1.03795	1.04074	22081	0	2
2024.12.20	16:00:00	1.04075	1.04448	1.03860	1.04285	35999	0	2
2024.12.20	20:00:00	1.04284	1.04474	1.04218	1.04284	12808	0	2
2024.12.23	00:00:00	1.04295	1.04448	1.04267	1.04360	7722	0	2
2024.12.23	04:00:00	1.04360	1.04455	1.04359	1.04402	6041	0	2
2024.12.23	08:00:00	1.04401	1.04420	1.04072	1.04078	14722	0	2
2024.12.23	12:00:00	1.04078	1.04099	1.03856	1.03994	17658	0	2
2024.12.23	16:00:00	1.03996	1.04179	1.03842	1.03974	20920	0	2
2024.12.23	20:00:00	1.03975	1.04143	1.03974	1.04059	8339	0	2
2024.12.24	00:00:00	1.04051	1.04086	1.03980	1.04027	3841	0	2
2024.12.24	04:00:00	1.04027	1.04088	1.03886	1.03969	5423	0	2
2024.12.24	08:00:00	1.03969	1.04055	1.03899	1.03919	7677	0	2
2024.12.24	12:00:00	1.03919	1.04037	1.03890	1.04026	10152	0	2
2024.12.24	16:00:00	1.04025	1.04100	1.03835	1.03886	14922	0	2
2024.12.24	20:00:00	1.03884	1.04026	1.03868	1.03919	5251	0	2
2024.12.26	00:00:00	1.04004	1.04047	1.03929	1.03970	7142	0	2
2024.12.26	04:00:00	1.03971	1.04042	1.03967	1.03977	4396	0	2
2024.12.26	08:00:00	1.03977	1.04004	1.03904	1.03990	6428	0	2
2024.12.26	12:00:00	1.03990	1.04057	1.03926	1.04026	6219	0	2
2024.12.26	16:00:00	1.04026	1.04228	1.03951	1.04120	14524	0	2
2024.12.26	20:00:00	1.04117	1.04300	1.04116	1.04223	8664	0	2
2024.12.27	00:00:00	1.04171	1.04251	1.04121	1.04132	6853	0	2
2024.12.27	04:00:00	1.04131	1.04142	1.04067	1.04093	5307	0	2
2024.12.27	08:00:00	1.04093	1.04256	1.04050	1.04169	9597	0	2
2024.12.27	12:00:00	1.04168	1.04441	1.04116	1.04385	11198	0	2
2024.12.27	16:00:00	1.04384	1.04397	1.04144	1.04214	19371	0	2
2024.12.27	20:00:00	1.04213	1.04304	1.04208	1.04240	8480	0	2
2024.12.30	00:00:00	1.04304	1.04340	1.04249	1.04251	3805	0	2
2024.12.30	04:00:00	1.04252	1.04274	1.04209	1.04252	2616	0	3
2024.12.30	08:00:00	1.04251	1.04394	1.04093	1.04339	11441	0	2
2024.12.30	12:00:00	1.04338	1.04583	1.03851	1.03881	18341	0	2
2024.12.30	16:00:00	1.03879	1.04089	1.03717	1.03942	27477	0	2
2024.12.30	20:00:00	1.03942	1.04071	1.03936	1.04046	9453	0	2
2024.12.31	00:00:00	1.04003	1.04133	1.03969	1.04119	5592	0	2
2024.12.31	04:00:00	1.04118	1.04148	1.04024	1.04038	4659	0	2
2024.12.31	08:00:00	1.04038	1.04245	1.03996	1.04185	13159	0	2
2024.12.31	12:00:00	1.04185	1.04200	1.03835	1.03931	18218	0	2
2024.12.31	16:00:00	1.03931	1.03943	1.03438	1.03485	28670	0	2
2024.12.31	20:00:00	1.03484	1.03647	1.03455	1.03548	10080	0	2
2025.01.02	00:00:00	1.03514	1.03607	1.03442	1.03577	8204	0	2
2025.01.02	04:00:00	1.03578	1.03754	1.03576	1.03638	5591	0	2
2025.01.02	08:00:00	1.03637	1.03724	1.03463	1.03517	17824	0	2
2025.01.02	12:00:00	1.03516	1.03570	1.03110	1.03135	30543	0	2
2025.01.02	16:00:00	1.03134	1.03238	1.02241	1.02650	42955	0	2
2025.01.02	20:00:00	1.02650	1.02687	1.02478	1.02666	10831	0	2
2025.01.03	00:00:00	1.02548	1.02735	1.02548	1.02675	8258	0	2
2025.01.03	04:00:00	1.02675	1.02747	1.02645	1.02717	5806	0	2
2025.01.03	08:00:00	1.02716	1.03000	1.02687	1.02902	19301	0	2
2025.01.03	12:00:00	1.02902	1.03029	1.02791	1.02931	16163	0	2
2025.01.03	16:00:00	1.02932	1.03058	1.02729	1.02980	26167	0	2
2025.01.03	20:00:00	1.02979	1.03098	1.02925	1.03079	9793	0	2
2025.01.06	00:00:00	1.03026	1.03136	1.02949	1.03122	7775	0	2
2025.01.06	04:00:00	1.03122	1.03184	1.03085	1.03088	7032	0	2
2025.01.06	08:00:00	1.03089	1.03690	1.03077	1.03556	23089	0	2
2025.01.06	12:00:00	1.03556	1.04370	1.03285	1.04167	45895	0	2
2025.01.06	16:00:00	1.04167	1.04237	1.03525	1.03873	49123	0	2
2025.01.06	20:00:00	1.03874	1.03921	1.03770	1.03898	12529	0	2
2025.01.07	00:00:00	1.03821	1.03914	1.03760	1.03812	7280	0	2
2025.01.07	04:00:00	1.03811	1.04034	1.03800	1.03967	7454	0	2
2025.01.07	08:00:00	1.03966	1.04345	1.03963	1.04268	22728	0	2
2025.01.07	12:00:00	1.04265	1.04343	1.03866	1.03965	25507	0	2
2025.01.07	16:00:00	1.03965	1.03976	1.03539	1.03670	23108	0	2
2025.01.07	20:00:00	1.03670	1.03694	1.03389	1.03394	8196	0	2
2025.01.08	00:00:00	1.03400	1.03529	1.03390	1.03529	5113	0	2
2025.01.08	04:00:00	1.03529	1.03558	1.03462	1.03550	4235	0	2
2025.01.08	08:00:00	1.03550	1.03575	1.03154	1.03195	12790	0	2
2025.01.08	12:00:00	1.03192	1.03212	1.02731	1.03034	20655	0	2
2025.01.08	16:00:00	1.03034	1.03145	1.02890	1.03053	17488	0	2
2025.01.08	20:00:00	1.03052	1.03242	1.03052	1.03162	8666	0	3
2025.01.09	00:00:00	1.03154	1.03188	1.03048	1.03143	5424	0	3
2025.01.09	04:00:00	1.03143	1.03213	1.03052	1.03065	5624	0	3
2025.01.09	08:00:00	1.03065	1.03177	1.02835	1.03057	13787	0	2
2025.01.09	12:00:00	1.03057	1.03187	1.02960	1.03078	12308	0	2
2025.01.09	16:00:00	1.03078	1.03146	1.02909	1.02973	10110	0	2
2025.01.09	20:00:00	1.02972	1.03036	1.02939	1.02996	3419	0	3
2025.01.10	00:00:00	1.02995	1.03045	1.02920	1.03019	5056	0	3
2025.01.10	04:00:00	1.03018	1.03037	1.02845	1.02855	4207	0	3
2025.01.10	08:00:00	1.02855	1.03117	1.02811	1.02999	9831	0	2
2025.01.10	12:00:00	1.02999	1.03116	1.02133	1.02563	14958	0	2
2025.01.10	16:00:00	1.02562	1.02783	1.02275	1.02444	25140	0	2
2025.01.10	20:00:00	1.02444	1.02489	1.02349	1.02434	8450	0	3
2025.01.13	00:00:00	1.02360	1.02499	1.02358	1.02416	5557	0	3
2025.01.13	04:00:00	1.02416	1.02452	1.02076	1.02195	6666	0	3
2025.01.13	08:00:00	1.02194	1.02312	1.01775	1.01933	15992	0	2
2025.01.13	12:00:00	1.01932	1.02208	1.01861	1.02084	14742	0	2
2025.01.13	16:00:00	1.02084	1.02194	1.01916	1.02178	15608	0	2
2025.01.13	20:00:00	1.02179	1.02373	1.02069	1.02369	6708	0	3
2025.01.14	00:00:00	1.02464	1.02774	1.02407	1.02491	8458	0	3
2025.01.14	04:00:00	1.02491	1.02552	1.02383	1.02448	5718	0	3
2025.01.14	08:00:00	1.02449	1.02748	1.02449	1.02594	14518	0	2
2025.01.14	12:00:00	1.02594	1.02733	1.02394	1.02531	15268	0	2
2025.01.14	16:00:00	1.02531	1.03043	1.02434	1.02880	19578	0	2
2025.01.14	20:00:00	1.02880	1.03083	1.02866	1.03062	6215	0	3
2025.01.15	00:00:00	1.03034	1.03083	1.02977	1.02999	3771	0	3
2025.01.15	04:00:00	1.02999	1.03052	1.02925	1.02930	4670	0	3
2025.01.15	08:00:00	1.02930	1.03168	1.02866	1.03098	11923	0	2
2025.01.15	12:00:00	1.03098	1.03543	1.02933	1.03444	14797	0	2
2025.01.15	16:00:00	1.03454	1.03457	1.02580	1.02855	19821	0	2
2025.01.15	20:00:00	1.02859	1.02989	1.02842	1.02884	5772	0	3
2025.01.16	00:00:00	1.02851	1.02999	1.02847	1.02889	6493	0	3
2025.01.16	04:00:00	1.02893	1.02938	1.02807	1.02822	5519	0	3
2025.01.16	08:00:00	1.02823	1.03013	1.02815	1.02861	11099	0	2
2025.01.16	12:00:00	1.02861	1.02960	1.02606	1.02814	13379	0	2
2025.01.16	16:00:00	1.02812	1.03150	1.02678	1.02964	21355	0	2
2025.01.16	20:00:00	1.02964	1.03076	1.02933	1.03015	6625	0	3
2025.01.17	00:00:00	1.02954	1.03094	1.02949	1.03050	4147	0	3
2025.01.17	04:00:00	1.03052	1.03090	1.02874	1.02932	4743	0	2
2025.01.17	08:00:00	1.02932	1.03039	1.02774	1.02968	10941	0	2
2025.01.17	12:00:00	1.02971	1.03099	1.02854	1.02900	12629	0	2
2025.01.17	16:00:00	1.02902	1.03306	1.02651	1.02808	19827	0	2
2025.01.17	20:00:00	1.02808	1.02921	1.02682	1.02687	7097	0	3
2025.01.20	00:00:00	1.02778	1.02928	1.02662	1.02907	5479	0	3
2025.01.20	04:00:00	1.02907	1.03070	1.02868	1.03024	5309	0	3
2025.01.20	08:00:00	1.03024	1.03189	1.02994	1.03061	10673	0	2
2025.01.20	12:00:00	1.03061	1.04001	1.03061	1.03981	14641	0	2
2025.01.20	16:00:00	1.03980	1.04301	1.03532	1.03855	22315	0	2
2025.01.20	20:00:00	1.03855	1.04343	1.03832	1.04128	6520	0	3
2025.01.21	00:00:00	1.04099	1.04344	1.03512	1.03701	15118	0	3
2025.01.21	04:00:00	1.03701	1.04008	1.03691	1.03786	9502	0	3
2025.01.21	08:00:00	1.03786	1.03862	1.03418	1.03535	14042	0	2
2025.01.21	12:00:00	1.03527	1.03779	1.03428	1.03777	15334	0	2
2025.01.21	16:00:00	1.03788	1.04298	1.03727	1.04212	18805	0	2
2025.01.21	20:00:00	1.04212	1.04353	1.04156	1.04264	7187	0	3
2025.01.22	00:00:00	1.04250	1.04329	1.03921	1.04095	8116	0	3
2025.01.22	04:00:00	1.04095	1.04213	1.04060	1.04156	5456	0	3
2025.01.22	08:00:00	1.04156	1.04473	1.03996	1.04466	14471	0	2
2025.01.22	12:00:00	1.04467	1.04572	1.04222	1.04316	13248	0	2
2025.01.22	16:00:00	1.04313	1.04317	1.04119	1.04170	15252	0	2
2025.01.22	20:00:00	1.04170	1.04229	1.04066	1.04091	6317	0	3
2025.01.23	00:00:00	1.04083	1.04160	1.04019	1.04036	5075	0	3
2025.01.23	04:00:00	1.04035	1.04128	1.03968	1.04051	5486	0	3
2025.01.23	08:00:00	1.04051	1.04146	1.03899	1.04115	11720	0	2
2025.01.23	12:00:00	1.04116	1.04202	1.03941	1.04104	13041	0	2
2025.01.23	16:00:00	1.04107	1.04378	1.03719	1.04353	19651	0	2
2025.01.23	20:00:00	1.04353	1.04369	1.04126	1.04139	7496	0	3
2025.01.24	00:00:00	1.04137	1.04230	1.04114	1.04157	4648	0	3
2025.01.24	04:00:00	1.04157	1.04539	1.04157	1.04513	11215	0	3
2025.01.24	08:00:00	1.04514	1.05151	1.04472	1.04944	18484	0	2
2025.01.24	12:00:00	1.04944	1.04978	1.04636	1.04685	12068	0	2
2025.01.24	16:00:00	1.04685	1.05214	1.04671	1.05110	17194	0	2
2025.01.24	20:00:00	1.05109	1.05117	1.04881	1.04955	5743	0	3
2025.01.27	00:00:00	1.04783	1.04851	1.04612	1.04627	6941	0	3
2025.01.27	04:00:00	1.04627	1.04776	1.04557	1.04629	6985	0	3
2025.01.27	08:00:00	1.04629	1.04937	1.04537	1.04887	15672	0	2
2025.01.27	12:00:00	1.04888	1.05331	1.04888	1.05198	19232	0	2
2025.01.27	16:00:00	1.05198	1.05244	1.04848	1.04887	17508	0	2
2025.01.27	20:00:00	1.04886	1.04943	1.04791	1.04910	8240	0	3
2025.01.28	00:00:00	1.04911	1.04930	1.04285	1.04377	11055	0	3
2025.01.28	04:00:00	1.04374	1.04414	1.04243	1.04364	8029	0	3
2025.01.28	08:00:00	1.04364	1.04442	1.04194	1.04351	13665	0	2
2025.01.28	12:00:00	1.04351	1.04372	1.04136	1.04250	12992	0	2
2025.01.28	16:00:00	1.04246	1.04405	1.04208	1.04279	15160	0	2
2025.01.28	20:00:00	1.04281	1.04381	1.04225	1.04304	7685	0	3
2025.01.29	00:00:00	1.04279	1.04344	1.04263	1.04271	4082	0	3
2025.01.29	04:00:00	1.04271	1.04426	1.04258	1.04403	4897	0	3
2025.01.29	08:00:00	1.04411	1.04436	1.04019	1.04037	12190	0	2
2025.01.29	12:00:00	1.04036	1.04084	1.03822	1.03873	14318	0	2
2025.01.29	16:00:00	1.03876	1.04284	1.03862	1.04212	16995	0	2
2025.01.29	20:00:00	1.04212	1.04287	1.03884	1.04212	16332	0	3
2025.01.30	00:00:00	1.04178	1.04288	1.04167	1.04199	4731	0	3
2025.01.30	04:00:00	1.04199	1.04275	1.04175	1.04219	5349	0	3
2025.01.30	08:00:00	1.04219	1.04290	1.04020	1.04075	11717	0	2
2025.01.30	12:00:00	1.04073	1.04598	1.03903	1.04560	15254	0	2
2025.01.30	16:00:00	1.04560	1.04677	1.04093	1.04169	18179	0	2
2025.01.30	20:00:00	1.04171	1.04322	1.03860	1.03918	10560	0	3
2025.01.31	00:00:00	1.03933	1.04023	1.03772	1.03885	6077	0	3
2025.01.31	04:00:00	1.03886	1.03950	1.03828	1.03887	5995	0	3
2025.01.31	08:00:00	1.03887	1.04128	1.03652	1.03836	13752	0	2
2025.01.31	12:00:00	1.03836	1.03954	1.03720	1.03822	14133	0	2
2025.01.31	16:00:00	1.03824	1.04338	1.03602	1.04199	20750	0	2
2025.01.31	20:00:00	1.04199	1.04217	1.03499	1.03584	19735	0	3
2025.02.03	00:00:00	1.02411	1.02704	1.02107	1.02378	18764	0	3
2025.02.03	04:00:00	1.02377	1.02432	1.02121	1.02404	13771	0	3
2025.02.03	08:00:00	1.02404	1.02543	1.02128	1.02302	17671	0	2
2025.02.03	12:00:00	1.02305	1.02880	1.02300	1.02639	16163	0	2
2025.02.03	16:00:00	1.02638	1.03356	1.02424	1.02795	30152	0	2
2025.02.03	20:00:00	1.02791	1.03499	1.02704	1.03345	13050	0	3
2025.02.04	00:00:00	1.03343	1.03506	1.03085	1.03220	8445	0	3
2025.02.04	04:00:00	1.03220	1.03240	1.02721	1.02930	10630	0	3
2025.02.04	08:00:00	1.02930	1.03494	1.02922	1.03386	14737	0	2
2025.02.04	12:00:00	1.03384	1.03434	1.03202	1.03402	12072	0	2
2025.02.04	16:00:00	1.03404	1.03874	1.03400	1.03765	19632	0	2
2025.02.04	20:00:00	1.03765	1.03874	1.03743	1.03800	7729	0	3
2025.02.05	00:00:00	1.03744	1.03866	1.03694	1.03732	6583	0	3
2025.02.05	04:00:00	1.03732	1.03861	1.03729	1.03777	6589	0	3
2025.02.05	08:00:00	1.03777	1.04175	1.03741	1.04038	14441	0	2
2025.02.05	12:00:00	1.04038	1.04304	1.04014	1.04077	13611	0	2
2025.02.05	16:00:00	1.04077	1.04422	1.04061	1.04198	16280	0	2
2025.02.05	20:00:00	1.04197	1.04216	1.03967	1.03988	6234	0	2
2025.02.06	00:00:00	1.04037	1.04055	1.03949	1.04027	5305	0	2
2025.02.06	04:00:00	1.04023	1.04055	1.03851	1.03864	6303	0	2
2025.02.06	08:00:00	1.03865	1.03925	1.03561	1.03593	9794	0	2
2025.02.06	12:00:00	1.03593	1.03677	1.03525	1.03603	12044	0	2
2025.02.06	16:00:00	1.03607	1.03806	1.03598	1.03794	12174	0	2
2025.02.06	20:00:00	1.03793	1.03968	1.03743	1.03844	6472	0	2
2025.02.07	00:00:00	1.03838	1.03910	1.03744	1.03839	4932	0	2
2025.02.07	04:00:00	1.03839	1.03861	1.03740	1.03752	5760	0	2
2025.02.07	08:00:00	1.03752	1.03999	1.03726	1.03911	7958	0	2
2025.02.07	12:00:00	1.03911	1.04098	1.03492	1.03636	10803	0	2
2025.02.07	16:00:00	1.03636	1.03888	1.03055	1.03217	21162	0	2
2025.02.07	20:00:00	1.03217	1.03383	1.03210	1.03257	6941	0	2
2025.02.10	00:00:00	1.02865	1.03186	1.02827	1.03032	7008	0	2
2025.02.10	04:00:00	1.03032	1.03217	1.02987	1.03162	5189	0	2
2025.02.10	08:00:00	1.03162	1.03348	1.03067	1.03269	10047	0	2
2025.02.10	12:00:00	1.03266	1.03365	1.03086	1.03216	9034	0	2
2025.02.10	16:00:00	1.03217	1.03236	1.03043	1.03124	10303	0	2
2025.02.10	20:00:00	1.03124	1.03160	1.03050	1.03061	4320	0	2
2025.02.11	00:00:00	1.03072	1.03083	1.02984	1.03021	4985	0	2
2025.02.11	04:00:00	1.03021	1.03059	1.02921	1.03047	5082	0	2
2025.02.11	08:00:00	1.03047	1.03221	1.02999	1.03180	8629	0	2
2025.02.11	12:00:00	1.03181	1.03286	1.03145	1.03225	8236	0	2
2025.02.11	16:00:00	1.03222	1.03513	1.03218	1.03454	10829	0	2
2025.02.11	20:00:00	1.03454	1.03816	1.03420	1.03605	6676	0	2
2025.02.12	00:00:00	1.03616	1.03677	1.03539	1.03605	4496	0	2
2025.02.12	04:00:00	1.03605	1.03679	1.03548	1.03585	5987	0	2
2025.02.12	08:00:00	1.03585	1.03799	1.03568	1.03737	9112	0	2
2025.02.12	12:00:00	1.03743	1.03857	1.03170	1.03331	11845	0	2
2025.02.12	16:00:00	1.03320	1.04274	1.03254	1.04261	19200	0	2
2025.02.12	20:00:00	1.04262	1.04298	1.03810	1.03819	8379	0	2
2025.02.13	00:00:00	1.03838	1.04018	1.03815	1.03998	5635	0	2
2025.02.13	04:00:00	1.03998	1.04384	1.03965	1.04350	8211	0	2
2025.02.13	08:00:00	1.04350	1.04401	1.04105	1.04232	12215	0	2
2025.02.13	12:00:00	1.04232	1.04292	1.03750	1.03927	13680	0	2
2025.02.13	16:00:00	1.03928	1.04452	1.03820	1.04253	14369	0	2
2025.02.13	20:00:00	1.04254	1.04666	1.03732	1.04647	11867	0	2
2025.02.14	00:00:00	1.04630	1.04682	1.04560	1.04592	6468	0	2
2025.02.14	04:00:00	1.04591	1.04638	1.04473	1.04527	6006	0	2
2025.02.14	08:00:00	1.04527	1.04878	1.04519	1.04813	11237	0	2
2025.02.14	12:00:00	1.04813	1.04978	1.04570	1.04883	11116	0	2
2025.02.14	16:00:00	1.04883	1.05143	1.04873	1.05073	12617	0	2
2025.02.14	20:00:00	1.05073	1.05082	1.04883	1.04886	5834	0	2
2025.02.17	00:00:00	1.04846	1.05065	1.04846	1.05054	5777	0	2
2025.02.17	04:00:00	1.05054	1.05055	1.04848	1.04898	7170	0	2
2025.02.17	08:00:00	1.04898	1.04955	1.04710	1.04743	9825	0	2
2025.02.17	12:00:00	1.04742	1.04893	1.04671	1.04744	7366	0	2
2025.02.17	16:00:00	1.04744	1.04846	1.04713	1.04826	5605	0	2
2025.02.17	20:00:00	1.04825	1.04850	1.04792	1.04842	2019	0	2
2025.02.18	00:00:00	1.04752	1.04863	1.04627	1.04661	5293	0	2
2025.02.18	04:00:00	1.04662	1.04725	1.04522	1.04551	6734	0	2
2025.02.18	08:00:00	1.04551	1.04694	1.04546	1.04641	9383	0	2
2025.02.18	12:00:00	1.04648	1.04672	1.04417	1.04447	8364	0	2
2025.02.18	16:00:00	1.04447	1.04695	1.04391	1.04460	10151	0	2
2025.02.18	20:00:00	1.04459	1.04497	1.04350	1.04464	4986	0	2
2025.02.19	00:00:00	1.04453	1.04508	1.04410	1.04466	5014	0	2
2025.02.19	04:00:00	1.04465	1.04564	1.04448	1.04564	5669	0	2
2025.02.19	08:00:00	1.04564	1.04614	1.04283	1.04289	8670	0	2
2025.02.19	12:00:00	1.04290	1.04354	1.04188	1.04341	9977	0	2
2025.02.19	16:00:00	1.04341	1.04413	1.04008	1.04098	11065	0	2
2025.02.19	20:00:00	1.04099	1.04325	1.04085	1.04240	6367	0	2
2025.02.20	00:00:00	1.04211	1.04326	1.04187	1.04213	5577	0	2
2025.02.20	04:00:00	1.04213	1.04376	1.04202	1.04275	7369	0	2
2025.02.20	08:00:00	1.04275	1.04420	1.04235	1.04371	8966	0	2
2025.02.20	12:00:00	1.04369	1.04549	1.04308	1.04482	9764	0	2
2025.02.20	16:00:00	1.04482	1.04946	1.04419	1.04893	12685	0	2
2025.02.20	20:00:00	1.04886	1.05034	1.04854	1.05006	5544	0	2
2025.02.21	00:00:00	1.04953	1.05058	1.04844	1.04868	5773	0	2
2025.02.21	04:00:00	1.04868	1.05049	1.04864	1.04928	7004	0	2
2025.02.21	08:00:00	1.04928	1.04998	1.04667	1.04691	10655	0	2
2025.02.21	12:00:00	1.04692	1.04779	1.04594	1.04752	8134	0	2
